id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
18057,9429,174.6713776,69.66136016,0.9170319151,9752,109.5690452,0.6449384405,406.975,0.7153853399,2.507435646,0
3257,5842,145.8075716,51.67327984,0.935096321,6020,86.24537912,0.641978022,330.79,0.670913719,2.82172086,1
17107,8359,158.0124457,67.8482643,0.9031212715,8540,103.1649619,0.6662681333,370.413,0.7655820613,2.328909182,0
9811,6493,167.5716428,50.97452941,0.9526096446,6737,90.92383826,0.7966871166,366.921,0.6060523366,3.28736027,1
9564,5594,153.1722031,47.07152582,0.9516090885,5770,84.39491699,0.4968469669,337.176,0.6183281486,3.254030976,1
9932,4989,147.266077,44.54347668,0.9531591073,5104,79.70064045,0.424018358,321.824,0.6053220735,3.306119953,1
9802,6307,164.9858937,50.19454413,0.9525968931,6484,89.61206285,0.4308060109,360.612,0.6094700179,3.286928821,1
6978,6332,158.0228207,51.90701204,0.9445116395,6479,89.78949157,0.7438909774,350.208,0.6487817799,3.044344387,1
16678,8009,153.9836246,66.87430484,0.9007707414,8248,100.9820554,0.6486070619,364.045,0.7594129811,2.302582807,0
7518,6705,163.9801195,53.24787573,0.945809667,6874,92.39627237,0.7046027743,364.002,0.635917983,3.079561715,1
7656,5530,148.3343298,48.02829047,0.9461310095,5686,83.91075427,0.7890981735,326.886,0.6503428257,3.088478236,1
2727,5605,142.4606151,51.13573673,0.9333581426,5762,84.477853,0.7850140056,319.509,0.6899526531,2.785930627,1
10911,5293,154.9311822,43.99705447,0.9588307823,5430,82.09297723,0.5920581655,334.834,0.5932703662,3.521398967,1
13543,7195,142.2222083,65.0681845,0.8892041069,7337,95.71289633,0.7677123346,338.788,0.7877431297,2.185741148,0
11621,8022,147.904679,70.04227819,0.8807596033,8254,101.0639779,0.6074971602,362.12,0.7687541943,2.111648605,0
14312,8510,156.0546549,70.61289342,0.8917703787,8814,104.0925959,0.6404274533,376.07,0.7561397057,2.210002271,0
1770,6104,146.248296,53.96090167,0.9294422063,6283,88.15812034,0.614331723,335.215,0.6826176307,2.710264126,1
7763,9436,155.5758555,78.27337153,0.8642163854,9719,109.6097092,0.7957497048,385.82,0.7965780275,1.987596196,0
2142,5379,138.6769859,50.57997179,0.9311124377,5508,82.75720821,0.5312592593,311.266,0.6976667715,2.741737114,1
6960,5618,148.6595727,48.84849196,0.9444716267,5776,84.57576345,0.525734606,329.295,0.6510604679,3.043278649,1
8651,5322,148.620454,46.97308574,0.9487389681,5555,82.31756105,0.4693121693,327.17,0.6247953465,3.163949136,1
622,5778,137.6146985,54.54579283,0.9180925682,5877,85.77166251,0.5373883929,319.025,0.7134079864,2.522920492,1
12778,7936,148.5844437,68.81446956,0.8862884046,8090,100.520789,0.7508041627,357.983,0.7781919191,2.159203503,0
8659,5820,124.3646191,61.55634842,0.8689119284,5967,86.08283308,0.6126315789,308.454,0.7686914237,2.020337825,0
